                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6898,                 1.6634,                 1.1931,                0.45766,                0.45677,                0.45872,                0.26394,                 1.4003,                0.78958,                0.96415,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.4238,                  1.025,                 1.0396,                0.54553,                0.60179,                 0.6681,                0.32191,                 1.6707,                0.95993,                 1.0253,             0.00024015,             0.00024015,             0.00024015
                      3,                 1.4368,                0.87317,                 1.0059,                0.80522,                0.79898,                0.83887,                0.42692,                 1.4434,                0.83468,                0.94929,             0.00035304,             0.00035304,             0.00035304
                      4,                 1.4227,                0.81104,                 1.0147,                0.94757,                 0.7911,                0.86636,                0.41505,                 1.4195,                0.86606,                0.95119,             0.00045538,             0.00045538,             0.00045538
                      5,                 1.4124,                0.80804,                 1.0263,                0.79283,                0.86444,                0.85206,                0.34846,                 1.4716,                 1.1174,                0.95998,             0.00054715,             0.00054715,             0.00054715
                      6,                 1.3841,                0.77972,                0.99542,                0.61798,                0.72535,                0.68465,                0.33869,                 1.4547,                0.90168,                0.95873,             0.00062836,             0.00062836,             0.00062836
                      7,                 1.4511,                0.80524,                 1.0264,                 0.5465,                0.74648,                0.66492,                0.35302,                 1.3232,                0.92554,                0.93327,             0.00069901,             0.00069901,             0.00069901
                      8,                 1.4014,                0.85948,                 1.0384,                0.56092,                0.68046,                 0.5726,                0.30866,                 1.3755,                0.79112,                0.95056,             0.00075909,             0.00075909,             0.00075909
                      9,                 1.4233,                0.79588,                 1.0275,                0.86384,                   0.75,                0.81832,                0.40523,                 1.3912,                0.98999,                0.95651,             0.00080862,             0.00080862,             0.00080862
                     10,                 1.4348,                0.83257,                 1.0143,                0.85958,                 0.8125,                0.85343,                0.44129,                 1.3967,                0.94903,                0.95283,             0.00084758,             0.00084758,             0.00084758
                     11,                  1.433,                 0.7996,                 1.0099,                0.93629,                0.86417,                0.87029,                0.42416,                 1.4221,                0.80624,                0.95151,             0.00087598,             0.00087598,             0.00087598
                     12,                 1.4974,                0.78611,                0.99722,                0.87778,                0.80546,                0.78499,                0.39881,                 1.4124,                0.75278,                0.95684,             0.00089381,             0.00089381,             0.00089381
                     13,                 1.5219,                0.81147,                 1.0176,                0.88879,                0.79573,                0.78342,                0.37124,                 1.4177,                0.87089,                0.96227,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.4883,                0.76971,                 1.0216,                0.97488,                0.86593,                 0.8657,                 0.4245,                  1.365,                0.75145,                0.94726,             0.00087484,             0.00087484,             0.00087484
                     15,                  1.355,                0.71845,                 1.0019,                0.95942,                0.86796,                0.86296,                0.43707,                 1.4079,                  0.713,                0.95464,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.3997,                0.79444,                 1.0319,                0.88694,                0.67251,                0.75003,                0.37908,                 1.4224,                0.69233,                 0.9621,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.3646,                0.75332,                 1.0219,                0.71056,                 0.8044,                0.81735,                 0.3717,                 1.4317,                0.69289,                0.96489,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.4475,                0.77606,                 1.0461,                0.73409,                0.80546,                 0.8187,                0.37371,                 1.4026,                0.67805,                0.96019,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.3826,                0.73634,                 1.0048,                0.67423,                 0.8243,                0.75818,                0.36689,                 1.3788,                0.65986,                0.95362,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.3372,                0.74569,                 1.0398,                0.84134,                0.87148,                0.85851,                0.40414,                 1.3737,                0.64672,                0.95222,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.3176,                0.69562,                 1.0092,                0.90236,                0.87148,                0.86786,                0.41012,                 1.3694,                0.66274,                0.95159,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.3217,                0.68843,                 1.0133,                0.95549,                  0.875,                0.86916,                0.43058,                 1.3596,                0.64548,                0.94872,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.2962,                0.66984,                 0.9929,                0.96597,                  0.875,                0.86874,                0.44882,                 1.3485,                0.62361,                 0.9425,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.2823,                0.67093,                 1.0019,                0.97274,                0.87475,                0.86879,                0.44686,                 1.3388,                 0.6191,                0.93891,             0.00021471,             0.00021471,             0.00021471
                     25,                 1.2947,                0.67539,                 1.0345,                0.95952,                0.87148,                0.86877,                0.43664,                 1.3372,                0.60164,                0.93808,              0.0001487,              0.0001487,              0.0001487
